,Kichwa,Spanish,Etiqueta
2252,yachay pampa, area,positivo
2253,yachay ñan, proceso metodológico,positivo
2254,yachayay, enterarse,positivo
2255,yachaykamachik, ley de educación,positivo
2256,yachaykancha, área,positivo
2257,yachaykuna, sabiduría,positivo
2258,yachaypa hillay, material didáctico,positivo
2259,yachaypak hillay, recurso didáctico,positivo
2260,yachayruray, práctica,positivo
2261,yachayshuti, título,positivo
2262,yachayta taripana, dominio del conocimiento,positivo
2263,yachayta taripay, dominio del conocimiento,positivo
2264,yachayta wallpay, creación del conocimiento,positivo
2265,yachayta willana, socialización del conocimiento,positivo
2266,yachayta wiñachiy, creación del conocimiento,positivo
2267,yachaywa, tema,positivo
2268,yachaywa, tema,positivo
2269,yachaywan rurana, aplicación del conocimiento,positivo
2270,yachayyuyay, teoría,positivo
2271,yachayñan, metodología,positivo
2272,yaksina, fundir,positivo
2273,yaksishka, fundido,positivo
2274,yaku, agua,positivo
2275,yaku ishpa, orina,positivo
2276,yaku larka, canal de riego,positivo
2277,yaku shunku, hígado,positivo
2278,yakuhampik chuyayachik yachuchik, cloración del agua,positivo
2279,yakukamay, hidrografía,positivo
2280,yakumuyuyallpa, isla tierra rodeade de agua,positivo
2281,yakushushuy, decantación,positivo
2282,yakuyachik, disolvente,positivo
2283,yakuyachina, disolver,negativo
2284,yakuyachiy, derretir,negativo
2285,yakuyakkuri, golfo,positivo
2286,yakuyashka, líquido,positivo
2287,yakwallpa, anfibios,positivo
2288,yalli paktachik, complemento directo,positivo
2289,yalli paktachik yp, complemento directo,positivo
2290,yallichawpiyak, moda,positivo
2291,yallilutsayak, proporción geométrica o directa,positivo
2292,yallimanya, cateto mayor,positivo
2293,yallishka, mayor que,positivo
2294,yallishka pacha, tiempo pasado,positivo
2295,yalliyak pakiyupay, fracción inpropia,positivo
2296,yana sara, maíz negro,positivo
2297,yana shunku, riñón,positivo
2298,yana yana, negro intenso,positivo
2299,yanakuna, servidumbre,negativo
2300,yanantina, aporcar,positivo
2301,yanapak wasi, agencia de desarrollo,positivo
2302,yanapak wasikuna, instituciones,positivo
2303,yanapana, ayudar,positivo
2304,yanapanka, servicio,positivo
2305,yanapay, servicio- servir,positivo
2306,yanapayana, solidarizar,positivo
2307,yanapayaymanta, solidadaridad,positivo
2308,yankakapak, politiquero,negativo
2309,yankakichuna, invadir,negativo
2310,yankakichuy, invasión,negativo
2311,yankichik, agentes,negativo
2312,yankina, modificar,positivo
2313,yankina, cambiar,positivo
2314,yankinachik, agente modificador,positivo
2315,yankiy, cambio,positivo
2316,yanuna, cocinar,positivo
2317,yanuna uku, cocina,positivo
2318,yapa tantachiy, conjunto unión,positivo
2319,yapakullki, monto,positivo
2320,yapakullkina, usura,positivo
2321,yapakutinchiklla, frecuencia acumulada,positivo
2322,yapalutsay, proporcionalidad directa,positivo
2323,yaparikkuna, sumandos,positivo
2324,yapatantachi, unión de conjuntos.,positivo
2325,yapuk, arador,positivo
2326,yari, sentido,positivo
2327,yariyachina, percibir,positivo
2328,yarkay, hambre,negativo
2329,yawar, sangre,positivo
2330,yawar ayllunikiyashka, grados de consanguinidad,positivo
2331,yawar muyuri, circulación de sangre,positivo
2332,yawarchakruri, mestizaje,positivo
2333,yawarmuyuriy, circulatorio sanguíneo,positivo
2334,yawarpuriy, presión arterial,positivo
2335,yawati, tortuga,positivo
2336,yawatisuyu, región insular galápagos,positivo
2337,yawri, aguja,positivo
2338,yaya, padre,positivo
2339,yaya, papá- padre,positivo
2340,yaykuchiy, introducción física,positivo
2341,yaykuna, entrar,positivo
2342,yukuna, aparear,positivo
2343,yuma, semen,positivo
2344,yumariy, unirse sexualmente,positivo
2345,yumay, semen,positivo
2346,yupachay, cortesía,positivo
2347,yupachi, conteo,positivo
2348,yupana, contar,positivo
2349,yupay chani, valor absoluto o numérico,positivo
2350,yupaychana, agradecer,positivo
2351,yupaychani, gracias,positivo
2352,yupaykamay, matemática,positivo
2353,yupaykamay hillaykuna, materiales didácticos de la matemática,positivo
2354,yupaykamaychi, sistema numérico,positivo
2355,yupaykamaychi yuyay, pensamiento lógico matemático,positivo
2356,yupaykamayuk, matemático,positivo
2357,yupaykuna, los números,positivo
2358,yupaykuska, recta numérica,positivo
2359,yupaylli, cuenta bancaria,positivo
2360,yupaymillka, esquema numérico,positivo
2361,yupaynikichik, calculadora,positivo
2362,yupaypurachi, razón,positivo
2363,yupayrurayri, operación numérica o aritmética,positivo
2364,yura, planta,positivo
2365,yurak, blanco,positivo
2366,yurak sara, maíz blanco,positivo
2367,yurak shunku, pulmón,positivo
2368,yurakamak, forestal,positivo
2369,yurakuna, plantas,positivo
2370,yutay, influencia,positivo
2371,yuyakillkalla, carta,positivo
2372,yuyakyashka, vejez,positivo
2373,yuyana, pensar,positivo
2374,yuyarikkuna, reflexiones,positivo
2375,yuyarina, reflexionar,positivo
2376,yuyasha, cautela,positivo
2377,yuyay, pensamieto,positivo
2378,yuyay awariy, sintaxis,positivo
2379,yuyay kaspi, línea imaginaria,positivo
2380,yuyay paktay, unidad de criterio,positivo
2381,yuyay rurayri, problemas razonados,positivo
2382,yuyaychipukllay, rompecabezas,positivo
2383,yuyaynikik, software,positivo
2384,yuyaynina, opinar,positivo
2385,yuyaypaktana, concertar,positivo
2386,yuyayrikuchik, determinación o definición,positivo
2387,yuyayrina, concentrar,positivo
2388,yuyayrina, concentrar mental ,positivo
2389,yuyu, nabo,positivo
2390,zampu, sambo- calabaza,positivo
2391,zirmaputulli, bateria- pila,positivo
2392,ñachu, ya está- ya es,positivo
2393,ñakariy, pasión de placer,positivo
2394,ñankamu, guía,positivo
2395,ñankamu, guía didáctica,positivo
2396,ñapash shamuna pacha, futuro inmediato,positivo
2397,ñawchina, auxiliar- cooperar- influenciar- contribuir,positivo
2398,ñawchina, auxiliar,positivo
2399,ñawi, cara- rostro,positivo
2400,ñawi chakata, glándula pineal,positivo
2401,ñawi chichu, mejilla,positivo
2402,ñawi lulun, ojo,positivo
2403,ñawi millma, pestaña,positivo
2404,ñawi pata millma, ceja,positivo
2405,ñawirina, leer,positivo
2406,killkakatina, leer,positivo
2407,ñawpa, delante tiempo,positivo
2408,ñawpa kawsay pacha, eras antiguas,positivo
2409,ñawpa pachak, largos siglos,positivo
2410,ñawpa uma tullu, hueso frontal del cráneo,positivo
2411,ñawpak, principales,positivo
2412,ñawpakawsay imarikuchi kunakamay, vestigios arqueológicos,positivo
2413,ñawpakawsayimarikuchi kunakamay, vestigios arqueológicos,positivo
2414,ñawpana, adelantar,positivo
2415,ñawpanchina, promover,positivo
2416,ñawpanchina, promover,positivo
2417,ñawpapacha, paleolítico,positivo
2418,ñawparimay, mito- cuento- leyenda,positivo
2419,ñaña, hermana entre hermanas,positivo
2420,ñañakay, hermandad entre mujeres,positivo
2421,ñañu, delgado,positivo
2422,ñañu chunchulli, intestino delgado,positivo
2423,ñuka, yo- mio- mia,positivo
2424,ñukanchik, nosotras - nosotros,positivo
2425,ñukanchikpa, nuestro- nuestra,positivo
2426,ñukapa yuyaymanta, de mi consideración,positivo
2427,ñukik, sensual,positivo
2428,ñunu, leche,positivo
2429,ñutalla, sutil,positivo
2430,ñutku, seso,positivo
2431,ñutu, suave- blando,positivo
2432,ñutuñachina, ablandar,positivo
2433,purikunkuy,epidemia,negativo
2434,killpana,cubrir,positivo
2435,sakru,esqueleto,neutro
2436,pukushka,producto,neutro
2437,kitukara,"poncho, alargado y entero",neutro
2438,kikinkuna,ustedes / vosotros,neutro
2439,challay,ofrenda,positivo
2440,illu,certificado,positivo
2441,mana tiyana,"no haber, ausentar",negativo
2442,kanchisri,semana,negativo
2443,hatun tayta,abuelo,neutro
2444,isma,caca,negativo
2445,kinchana,cercar,neutro
2446,churipakchuri,nieto,neutro
2447,shara,"partido, resquebrajado",negativo
2448,rakina,partir,negativo
2449,wilkay,hawkay,neutro
2450,wilkay,rito,neutro
2451,allpa llankay,agricultura,positivo
2452,mushukyay,cruzamiento,neutro
2453,ukku,"carne, cuerpo",neutro
2454,ñawpa kawsakkuna,antepasados,neutro
2455,yacharina,adaptar,positivo
2456,alliman,derecho,positivo
2457,punchamanta),aclarar,positivo
2458,yuyaymanta,aclarar,positivo
2459,achik tayta,padrino,neutro
2460,tiyarina,mueble,neutro
2461,kashtuna,mandíbula-quijada,neutro
2462,kachikampu,armadillo,neutro
2463,pukchi,libra,neutro
2464,killuchakay,carbohidrato,positivo
2465,ñuku,basura,negativo
2466,chanpa,terrón,neutro
2467,putuk,enano,neutro
2468,pawana,saltar,neutro
2469,hamutayana,analizar,positivo
2470,ukapa,cuartilla,neutro
2471,latayta,padrastro,neutro
2472,wallpa,estructura,neutro
2473,watana,manilla-pulsera,neutro
2474,raymana,importancia,neutro
2475,maychaniy,importancia,positivo
2476,mati,plato de madera,neutro
2477,mikuna,alimento,positivo
2478,llanwana,palpar,neutro
2479,killka cuadro sinóptico,positivo
2480,añawi,fruto,positivo
2481,kipakrikuna,prever,positivo
2482,rupariy,combustión,neutro
2483,sayllachik,reloj,neutro
2484,waskariklla,ritmo,positivo
2485,añallu,insecto,neutro
2486,itha,insecto,neutro
2487,patpayuk,ave,neutro
2488,kuchuna,cortar,neutro
2489,chuskulli pukcha,arroba,neutro
2490,hatki,ácido,neutro
2491,putuku,espuma,neutro
2492,ayni,reciprocidad,positivo
2493,kaynapak kayna, anteayer,neutro
2494,imakay, característica,neutro
2495,uki,café color,neutro
2496,kiwi,caféplanta,neutro
2497,rikchalla, parecido a,neutro
2498,chawpi ruka, dedo del corazón- dedo del medio,neutro
2499,llaktapak shutipi,representación,neutro
2500,siki chupa tullu, coxis,positivo
2501,muchana, respetar,positivo
2502,tsunkana, absorber,positivo
2503,karachi, fibracabuyo,neutro
2504,pakpa,fibracabuyo,neutro
2505,tiyu tayta, tío,positivo
2506,putu, tronco,positivo
2507,puchukana, consumir,positivo
2508,atiy, poder,positivo
2509,charina, adquirir,positivo
2510,pakarina, nacer,positivo
2511,pakariy, nacimiento,positivo
2512,pampawarmi, prostituta,negativo
2513,chachu, astro,positivo
2514,imashi, adivinar,positivo
2515,wayramaytu, atmósfera,positivo
2516,muchana, adorar- venerar,positivo
2517,lumyay, llamarada,negativo
2518,llama, oveja,positivo
2519,hatun hallmana, aporcar,positivo
2520,kutuna, aporcar,positivo
2521,shukmanyachina, cambiar,positivo
2522,tayta, papá- padre,positivo
2523,satiy, introducción física,positivo
2524,yumana, aparear,positivo
2525,panra, nabo,positivo
2526,yanapana, auxiliar,positivo
2527,watakuna, largos siglos,positivo
2528,amuk, suave- blando,positivo
2529,hatun mamita,abuelita,positivo
